file,clip_id,episode_id,ok,bytes,n_raw,n_decoded,n_bad_frames,n_const_frames_sampled,T_out,nlab,hours,image_size,n_stack,quality,mean_v,max_v,min_v,stop_frac,dist_m,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn,n_nan_poses,n_nan_actions
7e3ced9c-ad6e-4155-b650-8d3f94a8847f.v2ep.pt,7e3ced9c-ad6e-4155-b650-8d3f94a8847f,929379171,True,2972623,201,201,0,0,199,179,0.005527777777777777,256,3,90,15.340566635131836,23.036060333251953,9.732768058776855,0.0,305.2772705078125,83.40673210620565,94.651327178311,1,0.0,0.47236180305480957,0.5276381969451904,37,0,93,46,3,65,0,33,64,17,0,1,1,0,0
7e4198c8-342c-4a21-8ab2-70391d951e13.v2ep.pt,7e4198c8-342c-4a21-8ab2-70391d951e13,929379377,True,3003215,201,201,0,0,199,179,0.005527777777777777,256,3,90,2.8048579692840576,10.620590209960938,0.0,0.286432147026062,55.8166748046875,89.95444514271418,90.65624024974382,1,0.41206029057502747,0.5879396796226501,0.0,84,0,59,36,0,70,0,71,38,0,1,0,1,0,0
7e45135a-ea8d-472b-bbd2-27516c1e44c1.v2ep.pt,7e45135a-ea8d-472b-bbd2-27516c1e44c1,929379381,True,2098639,201,201,0,0,199,179,0.005527777777777777,256,3,90,14.990202903747559,19.28117561340332,7.31940221786499,0.0,298.30502929687503,58.573038548253045,60.31862999443321,1,0.0,0.23115578293800354,0.7688442468643188,86,0,28,0,65,86,0,20,0,73,0,1,1,0,0
7e4e7354-2c68-4f8b-8d49-dc6f301b5cd7.v2ep.pt,7e4e7354-2c68-4f8b-8d49-dc6f301b5cd7,929379429,True,2170191,201,201,0,0,199,179,0.005527777777777777,256,3,90,4.124629020690918,5.149438381195068,2.8923163414001465,0.0,82.08011474609376,169.92353620946324,247.40185536139458,1,0.0,1.0,0.0,57,100,22,0,0,59,100,20,0,0,0,0,1,0,0
7e68b84a-6f8b-4f1b-9e47-d36191a9b5a1.v2ep.pt,7e68b84a-6f8b-4f1b-9e47-d36191a9b5a1,929379896,True,2165071,201,201,0,0,199,179,0.005527777777777777,256,3,90,3.5302276611328125,9.35575008392334,0.5960893034934998,0.0,70.25153198242188,85.46857497133574,90.45108868783332,1,0.16080401837825775,0.839195966720581,0.0,53,52,0,63,11,45,63,0,63,8,0,1,1,0,0
7e709566-a585-4261-9526-345915812f17.v2ep.pt,7e709566-a585-4261-9526-345915812f17,929380144,True,2322255,201,201,0,0,199,179,0.005527777777777777,256,3,90,10.793057441711426,12.564618110656738,6.204371929168701,0.0,214.7818359375,0.9016669327117233,7.628488019825501,0,0.0,0.552763819694519,0.44723618030548096,133,0,0,46,0,133,0,0,46,0,0,0,0,0,0
7e7499fd-0c67-4194-b676-5610f33e31be.v2ep.pt,7e7499fd-0c67-4194-b676-5610f33e31be,929380148,True,1428303,201,201,0,0,199,179,0.005527777777777777,256,3,90,16.554006576538086,18.927915573120117,12.93727970123291,0.0,329.42473144531255,38.071255867597635,38.66716255192457,0,0.0,0.0,1.0,95,0,39,5,40,95,0,0,44,40,0,1,1,0,0
7e7f78a5-6b51-4b58-8c19-def17010472d.v2ep.pt,7e7f78a5-6b51-4b58-8c19-def17010472d,929380198,True,2479695,201,201,0,0,199,179,0.005527777777777777,256,3,90,15.60171127319336,28.876739501953125,4.51656436920166,0.0,310.47404785156255,23.24133057561251,211.70949974019902,1,0.0,0.4673366844654083,0.5326633453369141,24,45,51,15,44,24,37,41,23,54,0,1,1,0,0
7e89d296-3ab2-4b40-bd77-0c01160eb430.v2ep.pt,7e89d296-3ab2-4b40-bd77-0c01160eb430,929380409,True,2296143,201,201,0,0,199,179,0.005527777777777777,256,3,90,12.463118553161621,14.31159782409668,10.465717315673828,0.0,248.016064453125,52.24975869768196,54.24179702949452,0,0.0,0.2763819098472595,0.7236180901527405,108,0,49,0,22,136,0,0,21,22,0,1,1,0,0
7e90c584-f6d8-4d11-9fdf-febc125d07ec.v2ep.pt,7e90c584-f6d8-4d11-9fdf-febc125d07ec,929380656,True,1728719,201,201,0,0,199,179,0.005527777777777777,256,3,90,16.684478759765625,17.977638244628906,15.073053359985352,0.0,332.021142578125,30.2224532659042,32.982669313289755,0,0.0,0.0,1.0,133,0,8,10,28,133,0,0,10,36,0,1,1,0,0
