file,episode_id,T_out,nlab,mean_v,stop_frac,net_head,cum_head,junction,stopped,city,hw,lk,tl,tr,ac,bs,lk2,tl2,tr2,ac2,bs2,has_stop,has_brake,has_turn
ep_00000.pt,808464740,199,179,4.634816646575928,0.0,14.764109589142883,45.73583460699748,1,0.0,1.0,0.0,121,0,21,17,20,90,0,52,17,20,0,1,1
ep_00001.pt,808465461,199,179,6.918730735778809,0.0954773873090744,19.16023790501653,35.83875389586561,1,0.12562814354896545,0.6783919334411621,0.19597989320755005,25,7,0,27,120,25,8,0,26,120,1,1,1
ep_00002.pt,808465976,199,179,7.19174861907959,0.04522613063454628,70.59789394057314,180.30564231393606,1,0.060301508754491806,0.8140703439712524,0.12562814354896545,13,37,76,40,13,13,28,70,53,15,1,1,1
ep_00003.pt,808466489,199,179,4.781784534454346,0.0,57.58107651471376,137.52050406989744,1,0.0,1.0,0.0,60,50,40,7,22,54,50,45,8,22,0,1,1
ep_00004.pt,808466737,198,178,5.9846696853637695,0.0,69.16838315861366,81.25269534765873,1,0.005050505045801401,0.9949495196342468,0.0,94,0,26,25,33,94,0,24,27,33,0,1,1
ep_00005.pt,808466742,199,179,3.9048733711242676,0.44723618030548096,89.74175988214915,89.7418418444192,1,0.4623115658760071,0.5376884341239929,0.0,87,51,0,41,0,87,47,0,45,0,1,0,1
ep_00006.pt,808477541,199,179,26.81230354309082,0.0,23.701179891672787,25.093554935114906,0,0.0,0.0,1.0,179,0,0,0,0,179,0,0,0,0,0,0,0
ep_00007.pt,808477744,199,179,6.294780254364014,0.0,93.11340763384509,96.27745861590763,1,0.0,1.0,0.0,79,0,58,32,10,79,0,55,33,12,0,1,1
ep_00008.pt,808477747,199,179,3.076638698577881,0.24623115360736847,88.42451691957717,101.9604355525467,1,0.2763819098472595,0.7236180901527405,0.0,56,44,0,32,47,58,42,0,32,47,1,1,1
ep_00009.pt,808477753,199,179,5.041996002197266,0.21608039736747742,97.54669900899276,98.57349500729912,1,0.23618090152740479,0.7638190984725952,0.0,30,67,0,82,0,33,59,0,87,0,1,0,1
ep_00010.pt,808478256,199,179,4.223679542541504,0.37185928225517273,93.37539319983925,98.90705412560587,1,0.3819095492362976,0.6180904507637024,0.0,64,65,0,50,0,64,60,0,55,0,1,0,1
