# leak scan over 306152 known clip ids (+ their 8-hex prefixes and 12-hex tails)
# control GOALS_AND_CLAIMS.md at tip 6a052cb: {'full_ids': 1, 'prefixes': 38, 'tails': 2}  (must read > 0 prefixes)
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W52.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W53.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W54.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W55.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W56.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W57.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W58.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W59.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  W60.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_22ecc807b84c_t117.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_418a12591a39_t43.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_418a12591a39_t52.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t102.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t106.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t22.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t32.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t35.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t40.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t48.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t50.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t51.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t52.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t77.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t92.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7be92e6870d8_t99.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_7f6670448ef6_t31.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d32340bd0ad0_t75.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d32340bd0ad0_t78.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d32340bd0ad0_t88.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d32340bd0ad0_t89.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t121.jpg
  0  {'full_ids': 0, 'prefixes': 0, 'tails': 0}  kerb_d4c144f52747_t31.jpg
