[s1] join   /home/nvidia/percprobe/raw/b1train_agents.jsonl.xz
[s1] md5    1c985e6d6ad34e605c4ebd30cb353558  (0.8 s)
[s1] spec   {'n_az': 20, 'n_rng': 24, 'r_max_m': 60.0, 'hfov_deg': 120.0, 'r_min_m': 0.0, 'sub_r': 2, 'sub_az': 3, 'shape': [24, 20], 'dr_m': 2.5, 'daz_deg': 6.0, 'n_cells': 480}
[s1] 44500 frames  28s  shadow 0.1935  pos_sup 0.03479
[s1] 45000 frames  29s  shadow 0.1940  pos_sup 0.03499
[s1] 45500 frames  29s  shadow 0.1947  pos_sup 0.03517
[s1] 46000 frames  30s  shadow 0.1940  pos_sup 0.03503
[s1] 46500 frames  30s  shadow 0.1945  pos_sup 0.03519
[s1] 47000 frames  30s  shadow 0.1936  pos_sup 0.03501
[s1] 47500 frames  30s  shadow 0.1920  pos_sup 0.03473
[s1] 48000 frames  30s  shadow 0.1914  pos_sup 0.03449
[s1] 48500 frames  31s  shadow 0.1906  pos_sup 0.03436
[s1] 49000 frames  31s  shadow 0.1902  pos_sup 0.03420
[s1] 49500 frames  31s  shadow 0.1890  pos_sup 0.03392
[s1] 50000 frames  31s  shadow 0.1892  pos_sup 0.03393
[s1] 50500 frames  31s  shadow 0.1882  pos_sup 0.03380
[s1] 51000 frames  31s  shadow 0.1866  pos_sup 0.03347
[s1] 51500 frames  32s  shadow 0.1859  pos_sup 0.03329
[s1] 52000 frames  32s  shadow 0.1849  pos_sup 0.03309
[s1] 52500 frames  32s  shadow 0.1854  pos_sup 0.03314
[s1] 53000 frames  32s  shadow 0.1848  pos_sup 0.03299
[s1] 53500 frames  32s  shadow 0.1840  pos_sup 0.03282
[s1] 54000 frames  33s  shadow 0.1860  pos_sup 0.03316
[s1] 54500 frames  33s  shadow 0.1864  pos_sup 0.03330
[s1] 55000 frames  34s  shadow 0.1868  pos_sup 0.03339
[s1] 55500 frames  34s  shadow 0.1883  pos_sup 0.03365
[s1] 56000 frames  34s  shadow 0.1883  pos_sup 0.03363
[s1] 56500 frames  35s  shadow 0.1878  pos_sup 0.03366
[s1] 57000 frames  35s  shadow 0.1891  pos_sup 0.03394
[s1] 57500 frames  35s  shadow 0.1889  pos_sup 0.03385
[s1] 58000 frames  36s  shadow 0.1879  pos_sup 0.03359
[s1] 58500 frames  36s  shadow 0.1871  pos_sup 0.03343
[s1] 59000 frames  36s  shadow 0.1873  pos_sup 0.03341
[s1] 59500 frames  36s  shadow 0.1870  pos_sup 0.03334
[s1] 60000 frames  37s  shadow 0.1867  pos_sup 0.03321
[s1] 60500 frames  37s  shadow 0.1862  pos_sup 0.03311
[s1] 61000 frames  37s  shadow 0.1855  pos_sup 0.03302
[s1] 61500 frames  37s  shadow 0.1856  pos_sup 0.03305
[s1] 62000 frames  38s  shadow 0.1853  pos_sup 0.03290
[s1] 62500 frames  38s  shadow 0.1859  pos_sup 0.03295
[s1] 63000 frames  38s  shadow 0.1869  pos_sup 0.03314
[s1] 63500 frames  38s  shadow 0.1859  pos_sup 0.03295
[s1] 64000 frames  39s  shadow 0.1876  pos_sup 0.03342
[s1] 64500 frames  39s  shadow 0.1873  pos_sup 0.03338
[s1] 65000 frames  40s  shadow 0.1880  pos_sup 0.03345
[s1] 65500 frames  40s  shadow 0.1897  pos_sup 0.03384
[s1] 66000 frames  41s  shadow 0.1901  pos_sup 0.03405
[s1] 66500 frames  41s  shadow 0.1910  pos_sup 0.03415
[s1] 67000 frames  41s  shadow 0.1910  pos_sup 0.03415
[s1] 67500 frames  41s  shadow 0.1905  pos_sup 0.03405
[s1] 68000 frames  42s  shadow 0.1920  pos_sup 0.03440
[s1] 68500 frames  42s  shadow 0.1919  pos_sup 0.03435
[s1] 69000 frames  43s  shadow 0.1917  pos_sup 0.03430
[s1] 69500 frames  43s  shadow 0.1909  pos_sup 0.03412
[s1] 70000 frames  43s  shadow 0.1906  pos_sup 0.03399
[s1] 70500 frames  43s  shadow 0.1912  pos_sup 0.03411
