paired on 8 identical tokens (scenario_filter.shuffle=false + fixed limit => same token set)
scenario type                                   N=1     N=8   delta | prog N=1 prog N=8
accelerating_at_traffic_light_without_lead    99.74   99.97   +0.23 |    1.000    1.000
changing_lane_to_left                         87.46   87.79   +0.33 |    0.613    0.625  <-- PRE-REGISTERED
following_lane_with_lead                      99.96   99.96   +0.00 |    1.000    1.000
near_multiple_vehicles                        99.92  100.00   +0.07 |    1.000    1.000
starting_left_turn                            96.61   96.81   +0.20 |    0.956    0.962
starting_protected_noncross_turn              99.23   99.23   +0.00 |    1.000    1.000
starting_unprotected_cross_turn               94.61   94.61   +0.00 |    0.934    0.934
stopping_at_stop_sign_with_lead              100.00  100.00   +0.00 |    1.000    1.000
mean delta = +0.10   (suite 97.19 -> 97.30)   scenarios that moved: 4 of 8   all deltas >= 0
